City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Vao,NC,-22.6667,167.4833,76.77,78,51,18.99,broken clouds
310,Cayenne,GF,4.9333,-52.3333,82.44,74,75,14.97,broken clouds
311,Santa Marta,CO,11.2408,-74.199,91.45,62,20,4.61,few clouds
312,Sur,OM,22.5667,59.5289,75.97,60,10,7.7,clear sky
313,Kavieng,PG,-2.5744,150.7967,78.04,84,100,5.95,moderate rain
314,Buala,SB,-8.145,159.5921,78.22,83,100,7.99,light rain
315,La Primavera,CO,5.4906,-70.4092,93.78,37,100,7.29,overcast clouds
316,Sitka,US,57.0531,-135.33,31.32,65,84,6.8,broken clouds
317,Emba,KZ,48.8264,58.1442,31.23,98,100,13.2,snow
318,Strezhevoy,RU,60.7333,77.5889,2.41,98,100,5.59,overcast clouds
319,Iwanai,JP,42.9744,140.5089,28.72,80,53,5.53,broken clouds
320,Lac Du Bonnet,CA,50.2536,-96.0612,29.14,81,49,5.23,scattered clouds
321,Hovd,MN,48.0056,91.6419,24.55,43,100,10.4,overcast clouds
322,Bargarh,IN,21.3333,83.6167,74.88,24,0,5.01,clear sky
323,Gazojak,TM,41.1875,61.4036,59.68,34,76,10.09,broken clouds
324,Gold Coast,AU,-28.0,153.4333,71.01,84,40,6.91,scattered clouds
325,Shache,CN,38.4167,77.2406,47.91,36,100,2.91,overcast clouds
326,General Pico,AR,-35.6566,-63.7568,96.35,15,0,8.5,clear sky
327,Toronto,CA,43.7001,-79.4163,39.18,85,0,20.71,clear sky
328,Balykshi,KZ,47.0667,51.8667,32.0,86,40,11.18,scattered clouds
329,Maceio,BR,-9.6658,-35.7353,87.24,62,40,12.66,scattered clouds
330,Finschhafen,PG,-6.6024,147.8681,79.86,79,100,7.45,overcast clouds
331,Grants,US,35.1473,-107.8514,48.43,25,0,18.41,clear sky
332,Nemuro,JP,43.3236,145.575,24.66,79,9,11.88,clear sky
333,Takoradi,GH,4.8845,-1.7554,81.66,80,98,11.36,overcast clouds
334,Zhob,PK,31.3411,69.4481,57.18,54,39,1.72,scattered clouds
335,Axim,GH,4.8699,-2.2405,81.59,80,100,10.6,overcast clouds
336,Narsaq,GL,60.9167,-46.05,50.22,90,39,4.07,scattered clouds
337,Bentiu,SS,9.2333,29.8333,88.79,10,25,3.51,scattered clouds
